"","name","price","socket","form_factor","max_memory","memory_slots","color"
"209","ASRock B650E Taichi Lite",259.99,"AM5","EATX",192,4,"Black / Gray"
"210","ASRock Z790 Riptide WiFi",199.99,"LGA1700","ATX",192,4,"Black"
"211","Asus TUF GAMING B760-PLUS WIFI",179.99,"LGA1700","ATX",192,4,"Black"
"212","Gigabyte Z790 GAMING X AX",199.99,"LGA1700","ATX",192,4,"Black"
"213","Gigabyte B650M GAMING X AX",214.86,"AM5","Micro ATX",192,4,"Black"
"214","ASRock B760M-HDV/M.2 D4",89.99,"LGA1700","Micro ATX",64,2,"Silver / Black"
"215","MSI MAG Z690 TOMAHAWK WIFI DDR4",NA,"LGA1700","ATX",128,4,"Black / Silver"
"216","Asus PRIME Z390-P",199.94,"LGA1151-2","ATX",128,4,"Silver / Black"
"217","MSI MPG Z790 CARBON WIFI II",399.99,"LGA1700","ATX",192,4,"Black"
"218","Gigabyte A620M S2H",89.99,"AM5","Micro ATX",96,2,"Gray / Black"
"219","ASRock B660M-HDV",94.99,"LGA1700","Micro ATX",64,2,"Gray / Black"
"220","MSI MPG B760I EDGE WIFI",206.61,"LGA1700","Mini ITX",96,2,"Black / Silver"
"221","MSI PRO B650M-B",NA,"AM5","Micro ATX",96,2,"Black"
"222","Asus ROG STRIX Z690-A GAMING WIFI D4",397.86,"LGA1700","ATX",128,4,"Silver / Black"
"223","Asus PRIME B760M-A",145.54,"LGA1700","Micro ATX",128,4,"Silver / Black"
"224","MSI MEG X670E ACE",679.99,"AM5","EATX",192,4,"Black / Gold"
"225","ASRock X670E Taichi Carrara",429.99,"AM5","EATX",192,4,"Black / White"
"226","MSI MEG Z790 ACE MAX",699.99,"LGA1700","EATX",192,4,"Black"
"227","MSI PRO Z690-A WIFI DDR4",189.99,"LGA1700","ATX",128,4,"Black / Silver"
"228","MSI Z390-A PRO",246.18,"LGA1151-2","ATX",128,4,"Brown / Black"
"229","Gigabyte B650M DS3H",193.53,"AM5","Micro ATX",192,4,"Brown / Black"
"230","Gigabyte B650M K",119.99,"AM5","Micro ATX",192,4,"Brown / Silver"
"231","ASRock H310CM-DVS",62.8,"LGA1151-2","Micro ATX",32,2,"Black"
"232","Asus PRIME B450M-K II",91.17,"AM4","Micro ATX",64,2,"Black"
"233","Asus TUF GAMING Z790-PLUS WIFI D4",199.99,"LGA1700","ATX",128,4,"Black"
"234","Gigabyte B550 AORUS ELITE V2",173.32,"AM4","ATX",128,4,"Black"
"235","Asus ROG Crosshair VIII Dark Hero",579.99,"AM4","ATX",128,4,"Black / Silver"
"236","Asus PRIME Z390-A",284,"LGA1151-2","ATX",128,4,"Silver / Black"
"237","ASRock Z790 Pro RS",169.99,"LGA1700","ATX",192,4,"Silver / Black"
"238","MSI PRO B760-VC WIFI IV",159.99,"LGA1700","ATX",256,4,"Black / Silver"
"239","MSI PRO Z790-VC WIFI",159.99,"LGA1700","ATX",192,4,"Black"
